sku,location_id,quantity
SKU-1019,CA-STORE-1,98
SKU-1013,CA-STORE-1,348
SKU-1025,WA-STORE-1,15
SKU-1039,NY-STORE-1,166
SKU-1016,TX-STORE-1,410
SKU-1041,FL-STORE-1,449
SKU-1018,WA-STORE-1,444
SKU-1024,WA-STORE-1,476
SKU-1006,WA-STORE-1,87
SKU-1002,TX-STORE-1,321
SKU-1021,CA-STORE-1,45
SKU-1046,TX-STORE-1,432
SKU-1029,FL-STORE-1,186
SKU-1027,WA-STORE-1,42
SKU-1025,FL-STORE-1,203
SKU-1017,TX-STORE-1,243
SKU-1008,WA-STORE-1,428
SKU-1001,CA-STORE-1,23
SKU-1033,WA-STORE-1,409
SKU-1008,FL-STORE-1,428
SKU-1040,CA-STORE-1,134
SKU-1039,FL-STORE-1,174
SKU-1042,WA-STORE-1,160
SKU-1012,TX-STORE-1,81
SKU-1006,NY-STORE-1,464
SKU-1037,NY-STORE-1,363
SKU-1023,NY-STORE-1,239
SKU-1038,CA-STORE-1,163
SKU-1003,CA-STORE-1,11
SKU-1047,TX-STORE-1,246
SKU-1009,WA-STORE-1,278
SKU-1030,TX-STORE-1,170
SKU-1032,WA-STORE-1,166
SKU-1022,WA-STORE-1,149
SKU-1049,FL-STORE-1,374
SKU-1005,FL-STORE-1,430
SKU-1048,WA-STORE-1,73
SKU-1011,TX-STORE-1,262
SKU-1005,WA-STORE-1,224
SKU-1036,NY-STORE-1,355
SKU-1040,WA-STORE-1,475
SKU-1007,CA-STORE-1,132
SKU-1042,TX-STORE-1,203
SKU-1026,WA-STORE-1,332
SKU-1015,FL-STORE-1,289
SKU-1018,TX-STORE-1,172
SKU-1039,CA-STORE-1,99
SKU-1013,FL-STORE-1,239
SKU-1035,WA-STORE-1,369
SKU-1009,NY-STORE-1,382
