order_id,status,days_delayed
ORD-2001,CANCELLED,0
ORD-2002,DELIVERED,0
ORD-2003,IN_TRANSIT,0
ORD-2004,DELIVERED,0
ORD-2005,DELAYED,5
ORD-2006,DELAYED,12
ORD-2007,CANCELLED,0
ORD-2008,DELIVERED,0
ORD-2009,DELAYED,1
ORD-2010,PROCESSING,0
ORD-2011,PROCESSING,0
ORD-2012,PROCESSING,0
ORD-2013,IN_TRANSIT,0
ORD-2014,IN_TRANSIT,0
ORD-2015,PROCESSING,0
ORD-2016,PROCESSING,0
ORD-2017,DELIVERED,0
ORD-2018,IN_TRANSIT,0
ORD-2019,PROCESSING,0
ORD-2020,DELAYED,4
ORD-2021,PROCESSING,0
ORD-2022,DELIVERED,0
ORD-2023,PROCESSING,0
ORD-2024,IN_TRANSIT,0
ORD-2025,PROCESSING,0
ORD-2026,IN_TRANSIT,0
ORD-2027,DELIVERED,0
ORD-2028,IN_TRANSIT,0
ORD-2029,PROCESSING,0
ORD-2030,IN_TRANSIT,0
ORD-2031,DELIVERED,0
ORD-2032,IN_TRANSIT,0
ORD-2033,CANCELLED,0
ORD-2034,DELIVERED,0
ORD-2035,DELIVERED,0
ORD-2036,DELAYED,11
ORD-2037,CANCELLED,0
ORD-2038,CANCELLED,0
ORD-2039,CANCELLED,0
ORD-2040,CANCELLED,0
ORD-2041,CANCELLED,0
ORD-2042,CANCELLED,0
ORD-2043,PROCESSING,0
ORD-2044,CANCELLED,0
ORD-2045,CANCELLED,0
ORD-2046,DELIVERED,0
ORD-2047,PROCESSING,0
ORD-2048,DELAYED,13
ORD-2049,CANCELLED,0
ORD-2050,DELIVERED,0
