sku,category,margin_percentage
SKU-1001,Footwear,48.56
SKU-1002,Electronics,59.29
SKU-1003,Accessories,54.28
SKU-1004,Apparel,11.79
SKU-1005,Electronics,25.2
SKU-1006,Apparel,45.47
SKU-1007,Accessories,34.8
SKU-1008,Footwear,47.73
SKU-1009,Electronics,42.25
SKU-1010,Home,52.25
SKU-1011,Apparel,52.91
SKU-1012,Accessories,60.19
SKU-1013,Accessories,46.3
SKU-1014,Electronics,40.37
SKU-1015,Accessories,15.52
SKU-1016,Accessories,58.69
SKU-1017,Home,40.97
SKU-1018,Electronics,13.71
SKU-1019,Accessories,38.72
SKU-1020,Home,31.28
SKU-1021,Apparel,48.82
SKU-1022,Home,39.04
SKU-1023,Apparel,48.21
SKU-1024,Footwear,46.04
SKU-1025,Apparel,13.76
SKU-1026,Footwear,43.24
SKU-1027,Electronics,53.69
SKU-1028,Footwear,57.66
SKU-1029,Accessories,64.7
SKU-1030,Apparel,20.54
SKU-1031,Apparel,47.37
SKU-1032,Footwear,21.79
SKU-1033,Electronics,61.03
SKU-1034,Home,27.25
SKU-1035,Apparel,64.69
SKU-1036,Accessories,36.21
SKU-1037,Footwear,26.11
SKU-1038,Apparel,57.33
SKU-1039,Accessories,39.36
SKU-1040,Accessories,62.99
SKU-1041,Electronics,42.44
SKU-1042,Accessories,26.15
SKU-1043,Electronics,12.05
SKU-1044,Accessories,16.91
SKU-1045,Electronics,59.25
SKU-1046,Apparel,42.21
SKU-1047,Accessories,62.53
SKU-1048,Home,43.99
SKU-1049,Apparel,34.62
SKU-1050,Home,39.08
