region,timeframe,volume
Ohio,last week,487483.95
Washington,last week,3986789.39
New York,yesterday,1416706.12
California,last week,1089288.54
Illinois,Q4,184920.55
Washington,Q4,44663.3
Arizona,last week,3033677.68
Ohio,Q3,4971005.53
Nevada,this month,3761646.07
Arizona,Q4,137705.02
New York,Q3,674876.3
California,this month,3626470.28
Illinois,Q3,3305304.11
Georgia,last week,2727995.73
Georgia,Q1,2496641.94
Washington,yesterday,4460147.07
Nevada,YTD,4338108.99
Washington,YTD,3441532.31
Arizona,YTD,575420.39
Illinois,yesterday,2198829.13
Ohio,Q1,4010185.22
New York,last week,944815.99
New York,Q4,4172595.65
Washington,Q3,2467221.52
Ohio,YTD,1289275.38
Florida,YTD,621379.94
California,last month,3647091.16
Illinois,Q2,3908412.18
Arizona,Q3,3250056.02
Arizona,yesterday,1522430.39
Texas,last week,604880.44
Georgia,Q4,3789086.03
Ohio,yesterday,3364880.84
Illinois,last month,4910448.47
Texas,last month,1737881.96
Florida,Q2,4241373.7
Georgia,Q2,3979836.85
Georgia,yesterday,2824098.93
Illinois,this month,4969562.74
Arizona,Q2,330482.32
Nevada,Q3,3716908.1
Washington,Q1,4827863.69
New York,last month,2473673.44
Texas,YTD,3523060.29
Georgia,Q3,4732021.96
Florida,yesterday,3113409.29
Florida,Q3,2242275.0
Nevada,Q1,1484878.54
Nevada,last week,1808892.48
California,Q4,3175682.14
